Text,Polarity,Subjectivity
"RT @BuffNewsVogl: Story updated with Evander Kane quotes. As of now, the Sabres hold eight picks in the 2019 Draft, including six in the fi…",0.0,0.0
@RyanHD_YT i write a lot so however many quotes you reckon you’ll do in an hour,0.5,0.5
RT @TomerAzarly: Shoutout @WeAreCavsNation for taking the quotes on #Cavs' LeBron James from my interview with #Clippers' DeAndre Jordan an…,0.0,0.0
RT @gucci_marxist: What Phil Greaves is doing is not ignorance. He's being told over and over again that gender=/=sex and he keeps digging…,0.0,0.0
RT @Eminence_PR: Head over to @DigitalSpy and read their new article about @BenHaenow 🕵️‍♂️🎶 they mention his forthcoming second album #Ali…,0.06818181818181818,0.22727272727272727
How long can #Survivor go on?  https://t.co/st8RcyvIVy,-0.05,0.4
RT @aulaPlaneta: El secreto de la #educación radica en... ¡RT! #Quotes https://t.co/3YvPvf4Q2N,0.0,0.0
"""The points of being success are never regret and always try"" #quotes #quotesoftheday",0.3,0.0
Shoutout @WeAreCavsNation for taking the quotes on #Cavs' LeBron James from my interview with #Clippers' DeAndre Jo… https://t.co/s4hyoCIHu7,0.0,0.0
"No matter what comes up in my life, I know that 'This too, will pass'. #quotes #inspiration #motivation",0.0,0.0
#Boxing #Quotes https://t.co/ZfMyBsoWH5,0.0,0.0
RT @kthalps: cory booker was on real time and is adorable AND quotes Pericles AND compares Newark to Athens. Who Could ask for anything more,0.39999999999999997,0.6
"@ThatGuy_Hugo @FWOBAverageGuy I edit the quotes, does that count?",0.0,0.0
Starbucks Secret Menu - https://t.co/JFCe9QvYUc https://t.co/gByy1BZZd3,-0.4,0.7
"We really need to have a ""dinner"" date sometime ;P — I dont get why dinner is in quotes is this like... a vore pick… https://t.co/j5xbTADXjX",0.2,0.2
